autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA14,Río Mapocho - Alameda,1.75,categoria_3,TBP,1054.92
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA12,Alameda - C. Valdovinos,3.55,categoria_1y4,TBFP,356.66
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA12,Alameda - C. Valdovinos,3.55,categoria_1y4,TBP,713.32
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA12,Alameda - C. Valdovinos,3.55,categoria_2,TBFP,713.32
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA12,Alameda - C. Valdovinos,3.55,categoria_2,TBP,1426.65
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA12,Alameda - C. Valdovinos,3.55,categoria_3,TBFP,1069.99
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA12,Alameda - C. Valdovinos,3.55,categoria_3,TBP,2139.98
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA11,C. Valdovinos - Departamental,2.75,categoria_1y4,TBFP,276.28
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA11,C. Valdovinos - Departamental,2.75,categoria_1y4,TBP,552.57
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA11,C. Valdovinos - Departamental,2.75,categoria_2,TBFP,552.57
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA11,C. Valdovinos - Departamental,2.75,categoria_2,TBP,1105.15
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA11,C. Valdovinos - Departamental,2.75,categoria_3,TBFP,828.86
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA11,C. Valdovinos - Departamental,2.75,categoria_3,TBP,1657.73
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA9,Departamental - A. Vespucio,3.78,categoria_1y4,TBFP,379.77
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA9,Departamental - A. Vespucio,3.78,categoria_1y4,TBP,759.54
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA9,Departamental - A. Vespucio,3.78,categoria_2,TBFP,759.54
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA9,Departamental - A. Vespucio,3.78,categoria_2,TBP,1519.09
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA9,Departamental - A. Vespucio,3.78,categoria_3,TBFP,1139.31
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA9,Departamental - A. Vespucio,3.78,categoria_3,TBP,2278.63
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA8,A. Vespucio - Las Acacias,4.35,categoria_1y4,TBFP,437.04
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA8,A. Vespucio - Las Acacias,4.35,categoria_1y4,TBP,874.08
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA8,A. Vespucio - Las Acacias,4.35,categoria_2,TBFP,874.08
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA8,A. Vespucio - Las Acacias,4.35,categoria_2,TBP,1748.16
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA8,A. Vespucio - Las Acacias,4.35,categoria_3,TBFP,1311.12
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA8,A. Vespucio - Las Acacias,4.35,categoria_3,TBP,2622.24
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA32,Las Acacias - Lo Blanco,1.7,categoria_1y4,TBFP,170.79
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA32,Las Acacias - Lo Blanco,1.7,categoria_1y4,TBP,341.59
