id_peaje,nombre,ruta,latitude,longitude,region,tipo,concesionaria
MOP_112,Duqueco,,-37.53190715299996,-72.32817996299997,,Lateral,
MOP_113,Bulnes Norte,,-36.72309957799996,-72.27434916299995,,Lateral,
MOP_114,Bulnes Centro,,-36.750260485999945,-72.28538050299994,,Lateral,
MOP_115,Bulnes Bifurcación Concepción,,-36.75899980199995,-72.29728306199996,,Lateral,
MOP_116,Penco,,-36.75790121599994,-73.01126928399998,,Troncal,
MOP_117,Colón,,-36.732743083999935,-73.08816455499993,,Troncal,
MOP_118,Santa Clara,,-36.909361805999936,-72.34199513299995,,Troncal,
MOP_119,San Carlos norte,,-36.41412165699995,-71.94597729699996,,Lateral,
MOP_120,San Carlos sur,,-36.44001671199993,-71.96243492799994,,Lateral,
MOP_121,Chillán sur,,-36.62598162099994,-72.16055709399996,,Lateral,
MOP_122,Cocharcas,,-36.52454731499995,-72.07237093999998,,Lateral,
MOP_123,Rafael,,-36.728426286999934,-72.86535914199999,,Lateral,
MOP_124,Chillán norte,,-36.58262628299997,-72.10239520399995,,Lateral,
MOP_125,Mulchén,,-37.704117586999985,-72.25745105899995,,Lateral,
MOP_126,Chimbarongo poniente,,-34.71430697799997,-71.03058902599997,,Lateral,
MOP_127,San Fdo Sur Poniente,,-34.60771379299996,-70.98409424499994,,Lateral,
MOP_128,San Fdo Sur Oriente,,-34.60568930299996,-70.98310560099998,,Lateral,
